stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code
de:08136:4228,Oberdorf Grüner Baum,48.862419,10.344783,,de:08136:4228_Parent,,
de:08136:4228:0:1,Oberdorf Grüner Baum,48.862419,10.344783,,de:08136:4228_Parent,,
de:08136:4228:0:2,Oberdorf Grüner Baum,48.862419,10.344783,,de:08136:4228_Parent,,
de:08136:4228:0:nord,Oberdorf Grüner Baum Bstg nord,48.862419,10.344783,,de:08136:4228_Parent,,Bstg nord
de:08136:4228_Parent,Oberdorf Grüner Baum,48.862419,10.344783,1,,,
de:08136:4229:0:1,Oberdorf Industriegebiet,48.872128,10.346301,,,,
de:08136:4229:0:2,Oberdorf Industriegebiet,48.872441,10.346544,,,,
de:08136:4230:0:hin,Oberdorf Ipfstraße,48.866692,10.345978,,,,
de:08136:4231:0:hin,Oberdorf Lehstraße,48.867566,10.344496,,,,
de:08136:4232:0:1,Oberdorf Schule,48.868943,10.346867,,,,
de:08136:4232:0:hin,Oberdorf Schule,48.868943,10.346867,,,,
de:08136:4236:0:1,Schloßberg Hindenburgplatz,48.849972,10.360091,,,,
de:08136:4236:0:2,Schloßberg Hindenburgplatz,48.849972,10.360091,,,,
de:08136:4236:0:hin,Schloßberg Hindenburgplatz,48.849972,10.360091,,,,
de:08136:4237:0:1,Trochtelfingen Rathaus,48.843268,10.397353,,,,
de:08136:4237:0:2,Trochtelfingen Rathaus,48.843126,10.397730,,,,
de:08136:4238,Trochtelfingen Rößle,48.843877,10.394478,,,,
de:08136:4238:0:1,Trochtelfingen Rößle,48.843877,10.394478,,,,
de:08136:4238:0:2,Trochtelfingen Rößle,48.843877,10.394478,,,,
de:08136:4239,Trochtelfingen Schülesgasse,48.841891,10.403497,,,,
de:08136:4239:0:1,Trochtelfingen Schülesgasse,48.841891,10.403497,,,,
de:08136:4239:0:2,Trochtelfingen Schülesgasse,48.841891,10.403497,,,,
de:08136:4240,Trochtelfingen Siedlung,48.836404,10.401359,,,,
de:08136:4240:0:1,Trochtelfingen Siedlung,48.836404,10.401359,,,,
de:08136:4240:0:2,Trochtelfingen Siedlung,48.836404,10.401359,,,,
de:08136:4241,Trochtelfingen Sonnenhalde,48.842813,10.404341,,,,
de:08136:4241:0:1,Trochtelfingen Sonnenhalde,48.842813,10.404341,,,,
de:08136:4241:0:2,Trochtelfingen Sonnenhalde,48.842813,10.404341,,,,
de:08136:4242,Bopfingen-Untere Röhrbachmühle,48.826724,10.395206,,,,
de:08136:4242:0:1,Bopfingen-Untere Röhrbachmühle,48.826724,10.395206,,,,
de:08136:4243,Unterriffingen Rathaus,48.826747,10.317241,,,,
de:08136:4243:0:1,Unterriffingen Rathaus,48.826747,10.317241,,,,
de:08136:4244:2:1,Aufhausen Bahnhof,48.856580,10.317717,,,,
de:08136:4245:2:1,Trochtelfingen Bahnhof,48.838337,10.401503,,,,
de:08136:4246:0:1,Trochtelfingen Röhrbachmühle/Kreuzung,48.826848,10.400263,,,,
de:08136:4246:0:2,Trochtelfingen Röhrbachmühle/Kreuzung,48.826848,10.400263,,,,
de:08136:4248:0:1,Kerkingen Altes Rathaus,48.905571,10.357099,,,,
de:08136:4249,Itzlingen Kerkinger Straße,48.899430,10.368804,,,,
de:08136:4249:0:1,Itzlingen Kerkinger Straße,48.899430,10.368804,,,,
de:08136:4250,Itzlingen Kirche,48.898385,10.373188,,,,
de:08136:4250:0:1,Itzlingen Kirche,48.898385,10.373188,,,,
de:08136:4251:0:hin,Schloßberg Buchfeldstraße,48.848157,10.355545,,,,
de:08136:4252:0:hin,Schloßberg Schwalbenstraße,48.849487,10.352616,,,,
de:08136:4253:0:hin,Oberdorf Einkaufszentrum,48.863306,10.341100,,,,
de:08136:4254:0:hin,Oberdorf Vobühlweg,48.870013,10.341100,,,,
de:08136:4255:0:hin,Oberdorf Panoramastraße,48.868506,10.341073,,,,
de:08136:4256:0:hin,Oberdorf Ölmühle,48.865025,10.345412,,,,
de:08136:4257:0:hin,Bopfingen Friedhof,48.861432,10.000001,,,,
de:08136:4258:0:hin,Bopfingen Am Stadtgraben,48.859494,10.349499,,,,
de:08136:4259:0:hin,Bopfingen Wiesmühlstraße,48.856935,10.361465,,,,
de:08136:4260,Bopfingen Ipfmessplatz,48.863660,10.353182,,,,
de:08136:4260:0:1,Bopfingen Ipfmessplatz,48.863678,10.353173,,,,
de:08136:4261:0:hin,Bopfingen Lisztstraße,48.860215,10.366998,,,,
de:08136:4262:0:hin,Bopfingen Sportplatz,48.859122,10.361429,,,,
de:08136:4263:0:hin,Bopfingen Alte Kirchheimer Str,48.862502,10.358240,,,,
de:08136:4300:0:1,Ellenberg-Althueb/Neuhueb,49.027536,10.217222,,,,
de:08136:4300:0:2,Ellenberg-Althueb/Neuhueb,49.027589,10.217124,,,,
de:08136:4301:0:1,Ellenberg-Bautzenhof,49.033673,10.235791,,,,
de:08136:4301:0:2,Ellenberg-Bautzenhof,49.033497,10.235728,,,,
de:08136:4302:0:1,Ellenberg-Birnhäusle,49.031058,10.218246,,,,
de:08136:4302:0:2,Ellenberg-Birnhäusle,49.031011,10.218300,,,,
de:08136:4303:0:1,Ellenberg-Breitenbach,49.035599,10.219944,,,,
de:08136:4303:0:2,Ellenberg-Breitenbach,49.035617,10.219881,,,,
de:08136:4305:0:1,Ellenberg-Eiberg,48.996709,10.245043,,,,
de:08136:4305:0:2,Ellenberg-Eiberg,48.996709,10.245043,,,,
de:08136:4306:0:1,Ellenberg-Eiberg Abzwg,48.999455,10.250999,,,,
de:08136:4306:0:2,Ellenberg-Eiberg Abzwg,48.999455,10.250999,,,,
de:08136:4307:0:1,Ellenberg-Eiberger Sägmühle,48.994852,10.237605,,,,
de:08136:4307:0:2,Ellenberg-Eiberger Sägmühle,48.994852,10.237605,,,,
de:08136:4308:0:1,Ellenberg Rathaus,49.012826,10.215318,,,,
de:08136:4308:0:2,Ellenberg Rathaus,49.012850,10.215381,,,,
de:08136:4310:0:1,Ellenberg Siedlung,49.014305,10.220465,,,,
de:08136:4310:0:2,Ellenberg Siedlung,49.014405,10.220708,,,,
de:08136:4311:0:1,Ellenberg-Georgenstadt,49.025239,10.207260,,,,
de:08136:4311:0:2,Ellenberg-Georgenstadt,49.025239,10.207260,,,,
de:08136:4312:0:1,Ellenberg-Gerhof Abzwg,49.036406,10.242133,,,,
de:08136:4312:0:2,Ellenberg-Gerhof Abzwg,49.036447,10.242106,,,,
de:08136:4313:0:1,Ellenberg-Gerhof Ort,49.038832,10.240318,,,,
de:08136:4313:0:2,Ellenberg-Gerhof Ort,49.038879,10.240327,,,,
de:08136:4314:0:1,Ellenberg-Haselbach Ort,48.984578,10.219684,,,,
de:08136:4315:0:1,Ellenberg-Haselbach Abzwg,48.987461,10.218130,,,,
de:08136:4315:0:2,Ellenberg-Haselbach Abzwg,48.987461,10.218130,,,,
de:08136:4316:0:1,Ellenberg-Häsle,48.989942,10.227140,,,,
de:08136:4316:0:2,Ellenberg-Häsle,48.989942,10.227140,,,,
de:08136:4318:0:1,Ellenberg-Kraßbronn,48.988304,10.246966,,,,
de:08136:4319:0:1,Ellenberg-Muckental Abzwg,48.993951,10.205616,,,,
de:08136:4319:0:2,Ellenberg-Muckental Abzwg,48.993656,10.205715,,,,
de:08136:4320:0:1,Ellenberg-Rothof Abzwg,48.986547,10.193399,,,,
de:08136:4320:0:2,Ellenberg-Rothof Abzwg,48.986635,10.193318,,,,
de:08136:4321:0:1,Ellenberg-Schmalenbach Abzwg,49.032878,10.222738,,,,
de:08136:4321:0:2,Ellenberg-Schmalenbach Abzwg,49.032743,10.222765,,,,
de:08136:4322:0:1,Ellenberg-Schweizerhof,48.991210,10.210566,,,,
de:08136:4322:0:2,Ellenberg-Schweizerhof,48.991210,10.210566,,,,
de:08136:4323:0:1,Ellenberg-Ziegelhütte,49.029562,10.214824,,,,
de:08136:4323:0:2,Ellenberg-Ziegelhütte,49.029521,10.214833,,,,
de:08136:4324:0:1,Ellenberg-Breitenbach Abzwg,49.030187,10.228424,,,,
de:08136:4324:0:2,Ellenberg-Breitenbach Abzwg,49.030263,10.228380,,,,
de:08136:4325:0:1,Ellenb-Hintersteinbach Ort,49.003923,10.265570,,,,
